tipo_combo,internet,precio_lista_internet,precio_combo_internet,telefonia,precio_lista_telefonia,precio_combo_telefonia,flow,precio_lista_flow,precio_combo_flow,total_precio_lista,total_precio_combo,masiva,portin,zona_claro
Combo Telefonia,50,130000,65000,3,120000,60000,false,0,0,250000,125000,false,true,true
Combo Telefonia,50,130000,65000,5,150000,75000,false,0,0,280000,140000,false,true,true
Combo Telefonia,50,130000,65000,7,185000,92500,false,0,0,315000,157500,false,true,true
Combo Telefonia,50,130000,65000,10,255000,127500,false,0,0,385000,192500,false,true,true
Combo Telefonia,50,130000,65000,15,350000,175000,false,0,0,480000,240000,false,true,true
Combo Telefonia,50,130000,65000,17,450000,225000,false,0,0,580000,290000,false,true,true
Combo Telefonia,50,130000,65000,20,550000,275000,false,0,0,680000,340000,false,true,true
Combo Telefonia,100,199000,99500,2,95000,47500,false,0,0,294000,147000,false,true,true
Combo Telefonia,100,199000,99500,3,120000,60000,false,0,0,319000,159500,false,true,true
Combo Telefonia,100,199000,99500,5,150000,75000,false,0,0,349000,174500,false,true,true
Combo Telefonia,100,199000,99500,7,185000,92500,false,0,0,384000,192000,false,true,true
Combo Telefonia,100,199000,99500,10,255000,127500,false,0,0,454000,227000,false,true,true
Combo Telefonia,100,199000,99500,15,350000,175000,false,0,0,549000,274500,false,true,true
Combo Telefonia,100,199000,99500,17,450000,225000,false,0,0,649000,324500,false,true,true
Combo Telefonia,100,199000,99500,20,550000,275000,false,0,0,749000,374500,false,true,true
Combo Telefonia,150,249000,124500,2,95000,47500,false,0,0,344000,172000,false,true,true
Combo Telefonia,150,249000,124500,3,120000,60000,false,0,0,369000,184500,false,true,true
Combo Telefonia,150,249000,124500,5,150000,75000,false,0,0,399000,199500,false,true,true
Combo Telefonia,150,249000,124500,7,185000,92500,false,0,0,434000,217000,false,true,true
Combo Telefonia,150,249000,124500,10,255000,127500,false,0,0,504000,252000,false,true,true
Combo Telefonia,150,249000,124500,15,350000,175000,false,0,0,599000,299500,false,true,true
Combo Telefonia,150,249000,124500,17,450000,225000,false,0,0,699000,349500,false,true,true
Combo Telefonia,150,249000,124500,20,550000,275000,false,0,0,799000,399500,false,true,true
Combo Telefonia,200,299000,149500,2,95000,47500,false,0,0,394000,197000,false,true,true
Combo Telefonia,200,299000,149500,3,120000,60000,false,0,0,419000,209500,false,true,true
Combo Telefonia,200,299000,149500,5,150000,75000,false,0,0,449000,224500,false,true,true
Combo Telefonia,200,299000,149500,7,185000,92500,false,0,0,484000,242000,false,true,true
Combo Telefonia,200,299000,149500,10,255000,127500,false,0,0,554000,277000,false,true,true
Combo Telefonia,200,299000,149500,15,350000,175000,false,0,0,649000,324500,false,true,true
Combo Telefonia,200,299000,149500,17,450000,225000,false,0,0,749000,374500,false,true,true
Combo Telefonia,200,299000,149500,20,550000,275000,false,0,0,849000,424500,false,true,true
